tdt_file,med_file,mouse,sex,region,virus,diet,date,session,phase,box,squad,L_nutrient,L_flavor,L_number_licks,R_nutrient,R_flavor,R_number_licks,total_licks,left_cue,right_cue,signal_uv,signal_blue,ttl_sipper_left,ttl_lick_left,ttl_sipper_right,ttl_lick_right,endcol
HistaLight-240215-084415,2024-02-15_09h26m_Subject HL202.txt,HL202,male,PVH,hislight,chow,2/15/2024,3,unrestricted_continuous_access,5,1,,,,ensure,,560,560,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240215-084415,2024-02-15_09h26m_Subject HL203.txt,HL203,male,PVH,hislight,chow,2/15/2024,3,unrestricted_continuous_access,6,1,,,,ensure,,494,494,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240215-084415,2024-02-15_09h26m_Subject HL204.txt,HL204,male,PVH,hislight,chow,2/15/2024,3,unrestricted_continuous_access,7,1,,,,ensure,,1221,1221,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240215-092137,2024-02-15_10h04m_Subject HL205.txt,HL205,male,PVH,hislight,chow,2/15/2024,3,unrestricted_continuous_access,5,2,,,,ensure,,204,204,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240215-092137,2024-02-15_10h04m_Subject HL206.txt,HL206,male,PVH,hislight,chow,2/15/2024,3,unrestricted_continuous_access,6,2,,,,ensure,,440,440,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240215-092137,2024-02-15_10h04m_Subject HL207.txt,HL207,male,PVH,hislight,chow,2/15/2024,3,unrestricted_continuous_access,7,2,,,,ensure,,788,788,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240215-092137,2024-02-15_10h04m_Subject HL208.txt,HL208,male,PVH,hislight,chow,2/15/2024,3,unrestricted_continuous_access,8,2,,,,ensure,,406,406,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240215-095837,2024-02-15_10h41m_Subject HL209.txt,HL209,male,PVH,hislight,chow,2/15/2024,3,unrestricted_continuous_access,5,3,,,,ensure,,353,353,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240215-095837,2024-02-15_10h41m_Subject HL210.txt,HL210,male,PVH,hislight,chow,2/15/2024,3,unrestricted_continuous_access,6,3,,,,ensure,,291,291,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240215-095837,2024-02-15_10h41m_Subject HL211.txt,HL211,male,PVH,hislight,chow,2/15/2024,3,unrestricted_continuous_access,7,3,,,,ensure,,433,433,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240215-095837,2024-02-15_10h41m_Subject HL212.txt,HL212,male,PVH,hislight,chow,2/15/2024,3,unrestricted_continuous_access,8,3,,,,ensure,,945,945,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240224-122425,2024-02-24_12h56m_Subject HL202.txt,HL202,male,PVH,hislight,chow,2/24/2024,4,food_restricted_continuous_access,5,1,,,,ensure,,799,799,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240224-122425,2024-02-24_12h56m_Subject HL203.txt,HL203,male,PVH,hislight,chow,2/24/2024,4,food_restricted_continuous_access,6,1,,,,ensure,,935,935,,,_4056,_4656,_619_,_620_,_617_,_618_,0
